x,y,z,qx,qy,qz,qw
0.0014207177,0.0020399094,-0.018671215,-0.0018286863,0.0033826055,0.0023953074,0.99998975
0.0014412813,0.0020439625,-0.018710196,-0.0018285414,0.003341962,0.0024159993,0.9999898
0.0014621317,0.0020464659,-0.018748552,-0.001697224,0.0033135158,0.0022298787,0.9999906
0.0014822036,0.0020532608,-0.018782616,-0.0015701777,0.0032228094,0.0021051706,0.99999136
0.0015057214,0.0020610094,-0.018820435,-0.0015462224,0.003157014,0.002271491,0.99999124
0.0015253015,0.0020569563,-0.018857539,-0.001361128,0.0031289377,0.00219646,0.9999918
0.0015492477,0.0020656586,-0.018882066,-0.0013697612,0.0031534936,0.0021132396,0.99999183
0.0015761629,0.002060771,-0.018908411,-0.0013469997,0.0031809015,0.002101948,0.99999183
0.0016072579,0.002060771,-0.01893267,-0.0010184404,0.003103269,0.001914255,0.99999285
0.0016286038,0.0020608902,-0.018965632,-0.00082574965,0.0030165934,0.0020091156,0.9999931
0.0016575828,0.002056837,-0.018990993,-0.00080636906,0.0030410707,0.0018699917,0.99999326
0.0016877018,0.002044201,-0.019013137,-0.0007481863,0.0029877257,0.0018515557,0.9999935
0.0017150864,0.0020405054,-0.019031882,-0.0009500007,0.0029849708,0.0018549615,0.9999934
0.0017419457,0.002018094,-0.019055337,-0.00080873666,0.002985852,0.0017228534,0.99999374
0.0017686188,0.0020064116,-0.019083858,-0.00052907394,0.0029719507,0.0015854288,0.99999416
0.001795914,0.0019942522,-0.019101083,-0.00077409,0.002883549,0.0017440455,0.999994
0.00183082,0.0019693375,-0.019118339,-0.00073828164,0.0029312056,0.0016593764,0.99999404
0.0018549263,0.0019538403,-0.019145846,-0.0006131272,0.0029018712,0.0015588658,0.9999944
0.0018806532,0.0019311905,-0.019164145,-0.00065456657,0.0028502415,0.0014028569,0.9999947
0.001913961,0.0019102097,-0.019184321,-0.000710476,0.0027171404,0.0016757121,0.99999464
0.0019421838,0.001883626,-0.019202054,-0.0006315241,0.0028064111,0.0012766058,0.99999505
0.001973357,0.0018479824,-0.01921758,-0.00086080306,0.002699989,0.0015607476,0.99999475
0.0020008087,0.001826644,-0.019238591,-0.0009732452,0.0026443813,0.0015080507,0.9999949
0.002031859,0.0017952919,-0.019248247,-0.0010564076,0.0026956976,0.0015596016,0.9999946
0.0020580627,0.0017646551,-0.019265741,-0.0010897726,0.0026892032,0.0014763293,0.9999947
0.002091661,0.0017166138,-0.019286603,-0.0011365697,0.0026409333,0.0013931481,0.9999949
0.002117157,0.0016694069,-0.01930222,-0.0012528691,0.0026136264,0.0012327731,0.99999505
0.0021498725,0.001627922,-0.019323587,-0.0013801465,0.0025846083,0.001222607,0.99999493
0.0021768585,0.0015767813,-0.019332528,-0.0015358003,0.002549727,0.0011526761,0.9999949
0.0022057183,0.0015258789,-0.019350708,-0.0015569739,0.0024314641,0.0011355826,0.9999952
0.002244331,0.0014885664,-0.019361228,-0.0019321215,0.0025598067,0.0013227755,0.999994
0.002277948,0.0014332533,-0.019375533,-0.0019219022,0.0023910939,0.0012486742,0.9999945
0.0023063868,0.0013846159,-0.01939094,-0.002032719,0.0023193697,0.0011927863,0.9999945
0.0023360401,0.0013278723,-0.019397914,-0.0020534901,0.0022477612,0.00097226375,0.9999949
0.0023644194,0.0012822151,-0.019409508,-0.0022836924,0.0022498895,0.00096647866,0.9999944
0.002385527,0.0012363195,-0.01941663,-0.002301492,0.0021420522,0.0011141023,0.99999446
0.0024178885,0.0012024641,-0.019429237,-0.0022844872,0.0020676516,0.00086750975,0.9999949
0.0024330765,0.0011571646,-0.019440562,-0.00238398,0.0021393378,0.00076305156,0.9999946
0.0024610795,0.0011156797,-0.019450843,-0.0024847337,0.0021217738,0.0009328269,0.9999942
0.0024754219,0.0010616779,-0.01945123,-0.0025559186,0.0020423178,0.001015227,0.9999941
0.0025055334,0.001031518,-0.01946038,-0.0024259535,0.001883912,0.0009292647,0.9999948
0.002529297,0.0009815693,-0.019465357,-0.0023438795,0.001937492,0.0008623213,0.999995
0.0025543757,0.00094139576,-0.01947248,-0.0024426905,0.0019653977,0.0009183415,0.99999464
0.002574779,0.00089621544,-0.019485146,-0.0024357555,0.0019389266,0.0007521365,0.9999949
0.0026012696,0.000860095,-0.019489706,-0.0024682991,0.0018362518,0.00051173306,0.9999951
0.0026325472,0.0008159876,-0.019499868,-0.0026495743,0.001988629,0.00054116774,0.99999434
0.0026551709,0.0007754564,-0.019501746,-0.0025329953,0.0018844606,0.00038598833,0.99999493
0.002677437,0.000731349,-0.019508898,-0.0025802588,0.0018629967,0.00053375086,0.9999948
0.0026944876,0.00069642067,-0.019513667,-0.0025275517,0.0018801901,0.00019994627,0.999995
0.0027205497,0.0006580353,-0.019514441,-0.002622909,0.0019077157,0.00043490966,0.99999464
0.0027414858,0.00062310696,-0.019517541,-0.0025026875,0.0019321808,0.00014347573,0.999995
0.0027548,0.0005916357,-0.01952526,-0.0025157852,0.0018236534,6.2499406e-05,0.9999952
0.0027695596,0.0005533695,-0.019530535,-0.0025486972,0.0019089895,0.00011192352,0.99999493
0.00277799,0.0005081892,-0.019530505,-0.002384908,0.0019828063,-0.00021876158,0.9999951
0.0027826577,0.00047159195,-0.019531637,-0.0023655144,0.0019065578,-0.00012018813,0.99999535
0.0027861595,0.00045406818,-0.019537717,-0.002419233,0.0019279352,-0.00024129938,0.9999952
0.0027924106,0.00042188168,-0.019542068,-0.0023955402,0.0019790092,-0.00028713717,0.9999951
0.0027934574,0.00039243698,-0.019546062,-0.0022036068,0.001960647,-0.00028477967,0.9999956
0.0027983077,0.00036489964,-0.019544512,-0.002174083,0.0019461791,-0.00036788717,0.99999565
0.0027959459,0.000346303,-0.01955238,-0.0021327331,0.0019807557,-0.0003601664,0.9999957
0.0027919374,0.00033140182,-0.019557387,-0.0020499488,0.0019988692,-0.00035455433,0.9999958
0.00280096,0.0003080368,-0.019566655,-0.0021817887,0.0019831173,-0.00027830404,0.9999956
0.0027945265,0.00026488304,-0.019565195,-0.0017377433,0.0019564466,-0.00096242124,0.9999961
0.0027976371,0.00023937225,-0.019580305,-0.0018088173,0.0020408023,-0.0009607984,0.9999958
0.0028041117,0.00021493435,-0.019587725,-0.0017712027,0.002092627,-0.0009690367,0.99999577
0.002811931,0.00019657612,-0.019594133,-0.0018703659,0.0020889419,-0.0009622876,0.9999956
