x,y,z,qx,qy,qz,qw
-0.005373203,-0.002601266,-0.005123645,-0.0056198677,-0.0031113585,0.002308082,0.9999767
-0.0053726668,-0.0025954247,-0.0051804483,-0.005363572,-0.0032007496,0.0019531858,0.9999786
-0.005366235,-0.0025923252,-0.0052596033,-0.0053379256,-0.0030880594,0.0017642827,0.99997944
-0.0053513087,-0.0025850534,-0.00532642,-0.005353731,-0.0032751253,0.0016951013,0.99997884
-0.0053844545,-0.0025351048,-0.0054042935,-0.0040163277,-0.0029625623,0.0015997819,0.99998623
-0.0053820964,-0.0025190115,-0.005479127,-0.003578686,-0.0030070406,0.0014074936,0.9999881
-0.0053479187,-0.0025558472,-0.0055216253,-0.0048271483,-0.0033379951,0.0013022153,0.99998194
-0.005374668,-0.0025203228,-0.005606264,-0.0037957188,-0.0032239363,0.0012558629,0.9999868
-0.0053735385,-0.002503395,-0.005663812,-0.0037529457,-0.0031881523,0.0015942903,0.9999866
-0.0053768475,-0.00249362,-0.0057296753,-0.0035959848,-0.003193601,0.0016592598,0.99998707
-0.0053830957,-0.0024855137,-0.0057995915,-0.0035767176,-0.003319388,0.0017864009,0.99998647
-0.0053869095,-0.0024825335,-0.0058642626,-0.0038462232,-0.0032327008,0.0020908413,0.99998516
-0.0053927936,-0.0024819374,-0.0059220493,-0.003645383,-0.003293245,0.0020866122,0.99998575
-0.0053965943,-0.0024715662,-0.0059826076,-0.003602165,-0.0033513182,0.0024074754,0.999985
-0.00540376,-0.0024662018,-0.0060403645,-0.0034771664,-0.0032735453,0.002267802,0.999986
-0.0054172836,-0.002458334,-0.006106913,-0.003362706,-0.0033926284,0.0021068556,0.99998635
-0.005426065,-0.0024629831,-0.0061630607,-0.0032682235,-0.0033765212,0.0020966541,0.99998677
-0.005427111,-0.0024468899,-0.006222248,-0.0033695598,-0.0033895266,0.0023851714,0.9999857
-0.005440032,-0.0024398565,-0.006282598,-0.003470532,-0.0034434753,0.0025862625,0.9999847
-0.0054452764,-0.0024363995,-0.0063411593,-0.0033653916,-0.003547005,0.0024866613,0.999985
-0.005453746,-0.0024392605,-0.006382853,-0.0033631963,-0.003553529,0.002562025,0.99998474
-0.0054634763,-0.002434492,-0.0064328313,-0.003645123,-0.0034122576,0.0029138455,0.9999833
-0.005481287,-0.002419114,-0.0064803064,-0.003612525,-0.0034181797,0.002816869,0.99998367
-0.0054899836,-0.0024197102,-0.006534934,-0.0036806045,-0.0035513234,0.0027795434,0.9999831
-0.005502172,-0.0024079084,-0.0065799057,-0.0037718944,-0.0034969193,0.002766411,0.99998295
-0.0055290107,-0.0024161339,-0.0066317916,-0.0038297274,-0.0034942008,0.0029744636,0.9999821
-0.005546918,-0.002415657,-0.0066794753,-0.0038459813,-0.0035218645,0.002855132,0.9999823
-0.005561311,-0.002407074,-0.006723225,-0.0039334204,-0.003471842,0.0030302675,0.99998164
-0.0055903923,-0.0024158955,-0.0067720115,-0.0036960149,-0.0035378058,0.0027378902,0.99998313
-0.005610426,-0.0024192333,-0.0068176687,-0.0037240337,-0.0034237609,0.0028602527,0.9999831
-0.005633291,-0.002420783,-0.0068647563,-0.003924445,-0.0033974994,0.00293412,0.9999822
-0.0056649316,-0.00242424,-0.006910622,-0.0038860438,-0.003451954,0.0030260168,0.99998194
-0.005697431,-0.0024365187,-0.0069607496,-0.003946023,-0.003337295,0.0028741048,0.9999825
-0.0057249125,-0.0024365187,-0.0070112646,-0.0040434594,-0.0034168125,0.0031429036,0.99998105
-0.0057595484,-0.0024398565,-0.0070587397,-0.004084674,-0.003444653,0.0030973,0.9999809
-0.0057914667,-0.0024539232,-0.0071135163,-0.0043312595,-0.003347273,0.0033558768,0.9999794
-0.0058187377,-0.0024664402,-0.007163763,-0.004240379,-0.0034216216,0.003346079,0.99997956
-0.005844187,-0.002478242,-0.007210672,-0.004414275,-0.003387714,0.0035743676,0.9999781
-0.005881816,-0.0024971962,-0.0072576404,-0.004050766,-0.0033491182,0.0033687644,0.9999805
-0.005903544,-0.0025123358,-0.00729838,-0.004103965,-0.0032860658,0.0032519908,0.99998087
-0.005935844,-0.0025408268,-0.007343471,-0.0040357974,-0.0033335472,0.0032752699,0.9999809
-0.0059592314,-0.0025315285,-0.0074029863,-0.0042259153,-0.0032921338,0.0035568231,0.9999793
-0.0059894715,-0.002540946,-0.0074489713,-0.004413067,-0.003230482,0.003602583,0.99997854
